"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Hong E.; Lim J.","Hong, Euntae (57188748291); Lim, Jongwoo (7403453968)","57188748291; 7403453968","Visual-inertial odometry with robust initialization and online scale estimation","2018","Sensors (Switzerland)","18","12","4287","","","21","10.3390/s18124287","https://www.scopus.com/pages/publications/85058149841?origin=resultslist","Visual-inertial odometry (VIO) has recently received much attention for efficient and accurate ego-motion estimation of unmanned aerial vehicle systems (UAVs). Recent studies have shown that optimization-based algorithms achieve typically high accuracy when given enough amount of information, but occasionally suffer from divergence when solving highly non-linear problems. Further, their performance significantly depends on the accuracy of the initialization of inertial measurement unit (IMU) parameters. In this paper, we propose a novel VIO algorithm of estimating the motional state of UAVs with high accuracy. The main technical contributions are the fusion of visual information and pre-integrated inertial measurements in a joint optimization framework and the stable initialization of scale and gravity using relative pose constraints. To account for the ambiguity and uncertainty of VIO initialization, a local scale parameter is adopted in the online optimization. Quantitative comparisons with the state-of-the-art algorithms on the European Robotics Challenge (EuRoC) dataset verify the efficacy and accuracy of the proposed method. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","Optimization; Sensor fusion; UAV navigation; Visual-inertial odometry","Antennas; Optimization; Robots; Unmanned aerial vehicles (UAV); Inertial Measurement Unit (IMU); Odometry; Optimization-based algorithm; Quantitative comparison; Sensor fusion; State-of-the-art algorithms; Technical contribution; Unmanned aerial vehicle systems; Motion estimation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85058149841"
"Merei A.; Mcheick H.; Ghaddar A.; Beltrame G.","Merei, Ahmad (57215545524); Mcheick, Hamid (6508070583); Ghaddar, Alia (36439481600); Beltrame, Giovanni (10043268700)","57215545524; 6508070583; 36439481600; 10043268700","ESLS: A Vision-Based Emergency Safe Landing System for UAVs","2025","Procedia Computer Science","272","","","277","285","1","10.1016/j.procs.2025.10.206","https://www.scopus.com/pages/publications/105023980027?origin=resultslist","Uncrewed Aerial Vehicles (UAVs) are increasingly used across a wide range of missions, including healthcare-related operations such as medical supply delivery and search and rescue (SAR). However, performing safe emergency landings remains a critical challenge, especially in GPS-denied or cluttered environments such as forests or disaster zones. This paper presents an Emergency Safe Landing System (ESLS) designed to support emergency descent in any mission context. ESLS integrates RTAB-MAP SLAM with visual-inertial odometry (VIO), combining data from an onboard IMU and RGB-D camera to enable real-time 3D mapping and localization. The system uses YOLO-v5 object detection fused with a binary occupancy map. This allows robust identification of unobstructed areas in dynamic and unstructured environments. ESLS supports two operational modes: (1) Emergency Safe Landing Zone Detection (ESLZD), which selects the safest available landing zone; and (2) Search-and-Rescue Mode (ESLZD-SAR), which prioritizes landing safely near a detected survivor. Simulation results in ArduPilot Gazebo show landing zone detection success rates of up to 98% and landing success rates of up to 96%, highlighting the system's potential for reliable deployment in both standard and SAR-specific UAV operations. © 2025 The Authors.","Emergency Landing; Obstacle Avoidance; Rescue (SAR); Search; SLAM; UAVs; Vision-Based Navigation","Aircraft detection; Aircraft landing; Antennas; Computer vision; Disasters; Global positioning system; Navigation; Object detection; Robotics; Vision; Emergency landing; Landing system; Obstacles avoidance; Rescue (search and rescue); Safe landing; Search; Search and rescue; SLAM; Uncrewed aerial vehicles; Vision based navigation; Collision avoidance; Unmanned aerial vehicles (UAV)","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023980027"
"Jiang H.-R.; Gu F.; Teng T.-Q.; He Y.-Q.","Jiang, Hao-Ran (59945415200); Gu, Feng (35792118800); Teng, Tian-Qi (59986314900); He, Yu-Qing (23060003200)","59945415200; 35792118800; 59986314900; 23060003200","Distance gradient integrated monocular visual-inertial-UWB tightly coupled localization approach; [融合距离梯度的单目视觉-惯性-UWB 紧耦合导航定位方法]","2025","Kongzhi yu Juece/Control and Decision","40","8","","2566","2578","0","10.13195/j.kzyjc.2024.1444","https://www.scopus.com/pages/publications/105010345222?origin=resultslist","Visual-inertial odometry(VIO) is an efficient localization method in GPS-denied environments. However, due to sensor noise and accumulated errors, drift inevitably occurs, affecting the accuracy of localization. To address this issue, this paper proposes a monocular visual-inertial-UWB tightly coupled localization method that integrates distance gradient information. By constructing a residual model of the distance and its gradient information from the ultra-wideband(UWB) ranging sensor, the information from VIO and UWB is fused using factor graph optimization. The introduction of distance gradient information helps to correct velocity, thereby further suppressing drift in the navigation system and improving localization accuracy through tight multi-sensor fusion. The proposed method is experimentally validated on the EuRoc public dataset and an actual UAV platform, covering various flight conditions. The results show that the proposed method is highly feasible and demonstrates superior navigation and localization performance, achieving a 13.7% improvement in accuracy compared to similar methods using the same measurement information. © 2025 Northeast University. All rights reserved.","factor graph optimization; multi-sensor fusion; UAV navigation; ultra-wideband sensor; visual inertial odometry","Air navigation; Computer vision; Global positioning system; Inertial navigation systems; Unmanned aerial vehicles (UAV); Vision; Distance gradients; Factor graph optimization; Factor graphs; Graph optimization; Multi-sensor fusion; Odometry; UAV navigation; Ultra-wideband sensors; Ultrawide band; Visual inertial odometry; Ultra-wideband (UWB)","Article","Final","","Scopus","2-s2.0-105010345222"
"Jeon J.; Jung S.; Lee E.; Choi D.; Myung H.","Jeon, Jinwoo (57189073539); Jung, Sungwook (57188652703); Lee, Eungchang (57208104735); Choi, Duckyu (57189222724); Myung, Hyun (7004861367)","57189073539; 57188652703; 57208104735; 57189222724; 7004861367","Run Your Visual-Inertial Odometry on NVIDIA Jetson: Benchmark Tests on a Micro Aerial Vehicle","2021","IEEE Robotics and Automation Letters","6","3","9416140","5332","5339","76","10.1109/LRA.2021.3075141","https://www.scopus.com/pages/publications/85105096726?origin=resultslist","This letter presents benchmark tests of various visual(-inertial) odometry algorithms on NVIDIA Jetson platforms. The compared algorithms include mono and stereo, covering Visual Odometry (VO) and Visual-Inertial Odometry (VIO): VINS-Mono, VINS-Fusion, Kimera, ALVIO, Stereo-MSCKF, ORB-SLAM2 stereo, and ROVIO. As these methods are mainly used for unmanned aerial vehicles (UAVs), they must perform well in situations where the size of the processing board and weight is limited. Jetson boards released by NVIDIA satisfy these constraints as they have a sufficiently powerful central processing unit (CPU) and graphics processing unit (GPU) for image processing. However, in existing studies, the performance of Jetson boards as a processing platform for executing VO/VIO has not been compared extensively in terms of the usage of computing resources and accuracy. Therefore, this study compares representative VO/VIO algorithms on several NVIDIA Jetson platforms, namely NVIDIA Jetson TX2, Xavier NX, and AGX Xavier, and introduces a novel dataset 'KAIST VIO dataset' for UAVs. Including pure rotations, the dataset has several geometric trajectories that are harsh to visual(-inertial) state estimation. The evaluation is performed in terms of the accuracy of estimated odometry, CPU usage, and memory usage on various Jetson boards, algorithms, and trajectories. We present the results of the comprehensive benchmark test and release the dataset for the computer vision and robotics applications. © 2016 IEEE.","Performance evaluation and benchmarking; visual-inertial SLAM","Agricultural robots; Antennas; Benchmarking; Computer graphics; Computer graphics equipment; Computer vision; Graphics processing unit; Micro air vehicle (MAV); Program processors; Statistical tests; Benchmark tests; Computing resource; Geometric trajectory; Micro aerial vehicle; Odometry algorithms; Processing platform; Robotics applications; Visual odometry; Stereo image processing","Article","Final","","Scopus","2-s2.0-85105096726"
"Santoso F.; Garratt M.A.; Anavatti S.G.","Santoso, Fendy (26656215300); Garratt, Matthew A. (14015693000); Anavatti, Sreenatha G. (6506559082)","26656215300; 14015693000; 6506559082","Visual-inertial navigation systems for aerial robotics: Sensor fusion and technology","2017","IEEE Transactions on Automation Science and Engineering","14","1","7511659","260","275","95","10.1109/TASE.2016.2582752","https://www.scopus.com/pages/publications/84978264508?origin=resultslist","In this paper, we comprehensively discuss the current progress of visual-inertial (VI) navigation systems and sensor fusion research with a particular focus on small unmanned aerial vehicles, known as microaerial vehicles (MAVs). Such fusion has become very topical due to the complementary characteristics of the two sensing modalities. We discuss the pros and cons of the most widely implemented VI systems against the navigational and maneuvering capabilities of MAVs. Considering the issue of optimum data fusion from multiple heterogeneous sensors, we examine the potential of the most widely used advanced state estimation techniques (both linear and nonlinear as well as Bayesian and non-Bayesian) against various MAV design considerations. Finally, we highlight several research opportunities and potential challenges associated with each technique. © 2004-2012 IEEE.","Microaerial vehicles (MAVs); Sensor fusion; Visual-inertial (VI) navigation systems","Data fusion; Design; Inertial navigation systems; Maneuverability; Navigation systems; Robotics; Robots; Complementary characteristics; Design considerations; Estimation techniques; Heterogeneous sensors; Maneuvering capability; Micro aerial vehicle; Research opportunities; Small unmanned aerial vehicles; Air navigation","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84978264508"
"Michalczyk J.; Scheiber M.; Jung R.; Weiss S.","Michalczyk, Jan (57847971000); Scheiber, Martin (57215558646); Jung, Roland (57215558775); Weiss, Stephan (57212748175)","57847971000; 57215558646; 57215558775; 57212748175","Radar-Inertial Odometry for Closed-Loop Control of Resource-Constrained Aerial Platforms","2023","Proceedings of the 2023 IEEE International Symposium on Safety, Security, and Rescue Robotics, SSRR 2023","","","","61","68","4","10.1109/SSRR59696.2023.10499937","https://www.scopus.com/pages/publications/85191972857?origin=resultslist","In this paper, we present a Radar-Inertial Odom-etry (RIO) framework capable of running on a portable resource-constrained embedded computer in real-Time as a state estimator for closing the feedback control loop on an Unmanned Aerial Vehicle (UAV) platform. The presented framework ef-ficiently implements a RIO approach relying on the multi-state tightly-coupled Extended Kalman Filter (EKF) fusing instantaneous velocities of and distances to 3D points delivered by a lightweight, low-cost, off-The-shelf Frequency Modulated Continuous Wave (FMCW) radar with Inertial Measurement Unit (IMU) readings. The usage, accuracy and consistency of the implemented framework are improved compared to state-of-The-Art by the online calibration of the sensors' extrinsic parameters. Our method is particularly relevant for (but not limited to) UAVs, enabling them to navigate autonomously in Global Navigation Satellite System (GNSS)-denied environments using very affordable and accessible hardware. In addition, thanks to the properties of the radar sensor, we enable autonomous navigation in challenging conditions for robot perception due to external factors such as fog, darkness or strong illumination which might be encountered in disaster zones. We show in real-world closed-loop flight experiments the effectiveness and efficiency of our estimator. The beneficial impact of the online calibration on estimation accuracy and consistency is also shown. Moreover, we compare the presented approach to a state-of-The-Art vision-based algorithm (Visual-Inertial Odometry (VIO)) in visually degraded conditions.  © 2023 IEEE.","","Antennas; Calibration; Extended Kalman filters; Frequency modulation; Global positioning system; Radar measurement; Robots; Aerial platform; Closed-loop control; Condition; Embedded computers; Feedback control loops; Odometry; On-line calibration; Real- time; State Estimators; State of the art; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-85191972857"
"Sayre-Mccord T.; Guerra W.; Antonini A.; Arneberg J.; Brown A.; Cavalheiro G.; Fang Y.; Gorodetsky A.; McCoy D.; Quilter S.; Riether F.; Tal E.; Terzioglu Y.; Carlone L.; Karaman S.","Sayre-Mccord, Thomas (57188516800); Guerra, Winter (57194443251); Antonini, Amado (57207884835); Arneberg, Jasper (57207823448); Brown, Austin (57205484689); Cavalheiro, Guilherme (57207881510); Fang, Yajun (7403457553); Gorodetsky, Alex (57201198722); McCoy, Dave (57207877205); Quilter, Sebastian (57207875314); Riether, Fabian (57207875334); Tal, Ezra (56736082300); Terzioglu, Yunus (56298284500); Carlone, Luca (35145251300); Karaman, Sertac (24923242500)","57188516800; 57194443251; 57207884835; 57207823448; 57205484689; 57207881510; 7403457553; 57201198722; 57207877205; 57207875314; 57207875334; 56736082300; 56298284500; 35145251300; 24923242500","Visual-Inertial Navigation Algorithm Development Using Photorealistic Camera Simulation in the Loop","2018","Proceedings - IEEE International Conference on Robotics and Automation","","","8460692","2566","2573","28","10.1109/ICRA.2018.8460692","https://www.scopus.com/pages/publications/85060042428?origin=resultslist","The development of fast, agile micro Unmanned Aerial Vehicles (UAVs) has been limited by (i) on-board computing hardware restrictions, (ii) the lack of sophisticated vision-based perception and vision-in-the-loop control algorithms, and (iii) the absence of development environments where such systems and algorithms can be rapidly and easily designed, implemented, and validated. Here, we first present a new micro UAV platform that integrates high-rate cameras, inertial sensors, and an NVIDIA Jetson Tegra X1 system-on-chip compute module that boasts 256 GPU cores. The UAV mechanics and electronics were designed and built in house, and are described in detail. Second, we present a novel 'virtual reality' development environment, in which photorealistically-rendered synthetic on-board camera images are generated in real time while the UAV is in flight. This development environment allows us to rapidly prototype computing and sensing hardware as well as perception and control algorithms, using real physics, real interoceptive sensor data (e.g., from the on-board inertial measurement unit), and synthetic exteroceptive sensor data (e.g., from synthetic cameras). Third, we demonstrate repeated agile maneuvering with closed-loop vision-based perception and control algorithms, which we have developed using this environment. © 2018 IEEE.","","Agile manufacturing systems; Antennas; Inertial navigation systems; Maneuverability; Robotics; Robots; System-on-chip; Unmanned aerial vehicles (UAV); Virtual reality; Agile maneuvering; Computing hardware; Development environment; Exteroceptive sensor; Inertial measurement unit; Inertial navigation algorithms; Photo-realistic; Vision-based perception; Cameras","Conference paper","Final","","Scopus","2-s2.0-85060042428"
"Zhang H.; Ma J.; Liu H.; Guo P.; Deng H.; Xu K.; Ding X.","Zhang, Huaijie (57575666800); Ma, Jingya (57814361600); Liu, Haoyuan (57193813387); Guo, Pin (57202948887); Deng, Huichao (35791771500); Xu, Kun (54584606300); Ding, Xilun (7401929247)","57575666800; 57814361600; 57193813387; 57202948887; 35791771500; 54584606300; 7401929247","Indoor positioning technology of multi⁃rotor flying robot based on visual-inertial fusion; [视 觉 与 惯 性 融 合 的 多 旋 翼 飞 行 机 器 人室 内 定 位 技 术]","2023","Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica","44","5","426964","","","6","10.7527/S1000-6893.2022.26964","https://www.scopus.com/pages/publications/85160955830?origin=resultslist","With the development of artificial intelligence technology，the application scenarios of UAV tend to be diverse. People’s demand for UAV is not only satisfied with flight，but also endows it with the role of flying robot，imposing higher requirements for its autonomous navigation，positioning in complex environment and intelligent cooperation. According to the positioning requirements of indoor scene，the indoor positioning of multi rotor flying robot is realized by integrating vision and inertial data. Besides，an image enhancement algorithm is added to the visual front end to improve the gray contrast of the image. Aiming at the drift problem in visual-inertial fusion positioning of flying robot，a strategy of feature point extraction and image frame release based on image information is proposed to improve the positioning accuracy. Aiming at the indoor autonomous tracking and landing task of flying robot，a flying robot autonomous landing system based on visual positioning is designed. Moreover，a flying robot model is built in Gazebo to verify its effectiveness. The positioning algorithms are compared and evaluated under the EuRoC dataset. A flying robot platform is built in the real scene for indoor positioning experiments. The task of autonomous tracking and landing of ground platform in indoor scene is completed. The error analysis is carried out by using the positioning truth value provided by the motion capture system. The results show that the positioning technology can meet the requirements of autonomous tracking and landing tasks in indoor scenes. © 2023 AAAS Press of Chinese Society of Aeronautics and Astronautics. All rights reserved.","autonomous tracking and landing; flying robot; indoor positioning; sensor data fusion; visual navigation","Image enhancement; Indoor positioning systems; Intelligent robots; Landing; Robot vision; Sensor data fusion; Application scenario; Artificial intelligence technologies; Autonomous landing; Autonomous tracking; Flying robots; Indoor positioning; Inertial fusion; Positioning technologies; Sensors data fusion; Visual Navigation; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-85160955830"
"Tabassum T.E.; Petrunin I.; Rana Z.A.","Tabassum, Tarafder Elmi (58714883700); Petrunin, Ivan (7003772885); Rana, Zeeshan A. (36599001300)","58714883700; 7003772885; 36599001300","Position Uncertainty Reduction in Visual-Inertial Navigation Systems Using Multi-ML Error Compensation","2024","Proceedings of the International Technical Meeting of the Satellite Division of The Institute of Navigation, ION GNSS+","","2024","","1741","1755","1","10.33012/2024.19790","https://www.scopus.com/pages/publications/105012771881?origin=resultslist","In the absence of signals from global navigation satellite systems (GNSS), visual-inertial navigation systems (VINS) are usually utilized in urban air mobility (UAM) applications which require reliable navigation in complex urban areas. This paper focuses on improving vision-based alternatives to GNSS navigation solutions with position uncertainty correction for safe and uninterrupted flights. The novel contribution introduces multiple machine-learning aided hybrid visual-inertial odometry (multi-ML hybrid VIO) that utilizes gated recurrent unit (GRU) based error compensators to enhance positioning within complex environments by reducing the impacts of various sources of uncertainty. Unlike state-of-the-art systems that lack evidence of demonstrating performance enhancement with position uncertainty correction within VIO architectures, the proposed framework simultaneously reduces position uncertainty and improves accuracy. Furthermore, training and testing datasets are generated using MATLAB incorporating unreal engine simulation environment for UAVs to replicate complex scenarios including environmental conditions, illumination variations, weather effects and flight dynamics where traditional VIO systems tend to fail. The proposed hybrid VIO architecture has been validated under combinations of complex scenarios including various sources of uncertainty such as sensor noise, feature tracking error, environmental dynamics, weather effects and lighting conditions for extended flights. The comparison results have demonstrated reduction in horizontal positioning RMSE errors: 1.7m for VIO with VO error compensation 2.18m for VIO with KF error compensation, 1.4m for multi-ML hybrid VIO. Furthermore, it demonstrates generalization ability over seen and unseen fault scenarios that indicates performance improvement of 89% in 3D position compared to VIO with VO error compensation, VIO with KF error compensation, and ESKF-based VIO. Additionally, experimental results demonstrate overall horizontal position uncertainty reduction by 79% for test 1 and 22% for test 2. Finally, this work represents a step forward in improving the safety and effectiveness of UAV navigation by providing vision-based alternative to GNSS solution for uninterrupted flights. © 2024 The Institute of Navigation. All Rights Reserved.","","Air navigation; Air transportation; Communication satellites; Compensation (personnel); Computer architecture; Flight dynamics; Flight simulators; Flight testing; Global positioning system; Learning systems; Machine learning; Statistical tests; Unmanned aerial vehicles (UAV); Complex urban area; Global Navigation Satellite Systems; Inertial navigations; Position uncertainties; Sources of uncertainty; Uncertainty corrections; Uncertainty reduction; Urban air; Vision based; Weather effect; Error compensation","Conference paper","Final","","Scopus","2-s2.0-105012771881"
"Villalobos G.; Petrunin I.; Shin H.-S.; Gilmour J.","Villalobos, G. (59242367000); Petrunin, I. (7003772885); Shin, H.-S. (10642381400); Gilmour, J. (59242091300)","59242367000; 7003772885; 10642381400; 59242091300","Robust Multi-Sensor Navigation in GNSS Degraded Environments","2023","AIAA SciTech Forum and Exposition, 2023","","","","","","2","10.2514/6.2023-2242","https://www.scopus.com/pages/publications/85177673873?origin=resultslist","The success of an Unmanned Aircraft Vehicle for effective operation beyond visual line of sight is linked to the system’s ability to maintain precise positioning during stationary and maneuvering flight under all encountered conditions, such as sensor measurement degradation or unavailability. Therefore, unmanned operations demand a resilient, accurate, and integral navigation system. Sensor fusion increases data redundancy by combining measurements from complementary sensors, such as Global Navigation Satellite Systems GNSS, Visual Inertial Navigation Systems VINS, and Light Detection and Ranging Systems LIDAR. This research aims to propose an enhanced adaptative sensor switching mechanism within a multi-sensor navigation system for improved robustness in GNSS-degraded environments accounting for accuracy through the interaction between different sensor models by means of their probability of failure. The switching is driven by a real-time process that dynamically adapts to sensor loss and degradation environments based solely on each sensor’s adaptative probability of failure and their interaction. This approach is developed based on previous research and is improved to account for the dependency of heuristic determination for sensor uncertainty models. The simulation is achieved with the help of the UAV Toolbox from MATLAB and the positioning signals modeled through ground truth manipulation with existing error models to test and evaluate the proposed methodology. The results presented show an improvement by mitigating the heuristic dependency and Markov chain sensitivity reported in previous research. © 2023, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","","Air navigation; Failure analysis; Global positioning system; Maneuverability; MATLAB; Optical radar; Sensor data fusion; Unmanned aerial vehicles (UAV); Aircraft vehicles; Condition; Line of Sight; Lines-of-sight; Manoeuvring flight; Multi-sensors navigations; Precise positioning; Probability of failure; Unmanned aircrafts; Visual line; Inertial navigation systems","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85177673873"
"Dai B.; He Y.; Gu F.; Yang L.; Xu W.","Dai, Bo (57193807315); He, Yuqing (23060003200); Gu, Feng (35792118800); Yang, Liying (57020320900); Xu, Weiliang (7404429185)","57193807315; 23060003200; 35792118800; 57020320900; 7404429185","Multi-sensor fusion for unmanned aerial vehicles based on the combination of filtering and optimization; [结合滤波与优化的无人机多传感器融合方法]","2020","Scientia Sinica Informationis","50","12","","1919","1931","7","10.1360/SSI-2019-0237","https://www.scopus.com/pages/publications/85098949782?origin=resultslist","Accurate and real-time state estimation is the first step to realize safe flight and operation of unmanned aerial vehicles (UAVs). Multi-sensor fusion, e.g., vision, IMU, and GPS, can improve the accuracy of state estimation and even make it work when some sensor is unavailable. Thus, this paper proposes a multi-sensor fusion method based on the combination of filtering and optimization to achieve locally accurate and globally drift-free state estimation. The proposed method has two components, i.e., the Kalman filter and global optimization. The Kalman filter is considered the main structure of the fusion framework, which fuses a local sensor (IMU) and global sensors (aligned global visual inertial odometry, GPS, magnetometer, and barometer sensors) to obtain global state estimation in real time. Global optimization estimates the transformation between local base frame of the visual inertial odometry and global base frame to obtain an accurate global visual estimation. However, given discontinuity of optimization and odometry delay, the aligned visual odometry is then input into the Kalman filter to achieve accurate and drift-free state estimation in real time. Finally, flight and localization tests on a practical UAV were conducted. The experimental results demonstrate the effectiveness and robustness of the proposed multi-sensor fusion method. © 2020, Science China Press. All right reserved.","Global optimization; Kalman filter; Multi-sensor fusion; State estimation; Unmanned aerial vehicles","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85098949782"
"Chen H.; Zhang L.; Li D.; Xu J.; Yang W.; Yang Z.","Chen, Huilin (39060953000); Zhang, Li (55919529800); Li, Danyang (57213815798); Xu, Jingao (57205489180); Yang, Weiqi (59141232400); Yang, Zheng (58431749000)","39060953000; 55919529800; 57213815798; 57205489180; 59141232400; 58431749000","REFLoc: A Resilient Evolutionary Fusion Framework for Robust Indoor Localization","2024","IEEE Transactions on Instrumentation and Measurement","73","","5021413","","","9","10.1109/TIM.2024.3403196","https://www.scopus.com/pages/publications/85194043463?origin=resultslist","Location awareness is becoming increasingly crucial in unmanned aerial vehicles (UAVs). However, in the absence of global positioning system (GPS) signals in indoor scenes, how to obtain accurate positioning results has become a frontier issue that has attracted much attention. This article proposes a resilient evolutionary multisensor fusion localization framework named 'REFLoc' to achieve accurate indoor positioning of UAVs. Motivated by the ease of deployment and the wide feasibility of precise indoor localization, we introduce ultrawideband (UWB) as global localization. The global localization provides the absolute position information of the UAV indoors, but it may be affected by signal blocking, occlusion, or interference. To address these noise effects, we introduce a hybrid threshold wavelet denoising (HTWD) algorithm to effectively preprocess UWB data. We also integrate visual-inertial odometry (VIO) as the support of local tracking to provide continuous and high-frequency motion estimation. We dynamically adjust the weight parameters and noise covariance matrices by using the resilient evolutionary fusion method. Then, we further seamlessly integrate the global localization and local tracking results in the optimized EKF framework. This improves the robustness of the system to environmental changes and outliers. We evaluate the performance of REFLoc in public datasets and the real world, and the experimental results show that the proposed framework can effectively improve the robustness and accuracy of the UAVs' localization.  © 1963-2012 IEEE.","Indoor localization; resilient evolutionary fusion; ultrawideband (UWB); unmanned aerial vehicle (UAV); visual inertial odometry (VIO)","Antennas; Covariance matrix; Frequency estimation; Global positioning system; Indoor positioning systems; Ultra-wideband (UWB); Unmanned aerial vehicles (UAV); Aerial vehicle; Global localization; Indoor localization; Localisation; Odometry; Resilient evolutionary fusion; Ultra-wideband; Ultrawide band; Unmanned aerial vehicle; Visual inertial odometry; Motion estimation","Article","Final","","Scopus","2-s2.0-85194043463"
"Zhao B.; Hellwich O.; Hu T.; Zhou D.; Niu Y.; Shen L.","Zhao, Boxin (55469084300); Hellwich, Olaf (6701327873); Hu, Tianjiang (14021374900); Zhou, Dianle (55968946900); Niu, Yifeng (56222112100); Shen, Lincheng (7401704588)","55469084300; 6701327873; 14021374900; 55968946900; 56222112100; 7401704588","Employing smartphone as on-board navigator in unmanned aerial vehicles: Implementation and experiments","2015","Industrial Robot","42","4","","306","313","4","10.1108/IR-01-2015-0016","https://www.scopus.com/pages/publications/84931028080?origin=resultslist","Purpose: This study aims to investigate if smartphone sensors can be used in an unmanned aerial vehicle (UAV) localization system. With the development of technology, smartphones have been tentatively used in micro-UAVs due to their lightweight, inexpensiveness and flexibility. In this study, a Samsung Galaxy S3 smartphone is selected as an on-board sensor platform for UAV localization in Global Positioning System (GPS)-denied environments and two main issues are investigated: Are the phone sensors appropriate for UAV localization? If yes, what are the boundary conditions of employing them? Design/methodology/approach: Efficient accuracy estimation methodologies for the phone sensors are proposed without using any expensive instruments. Using these methods, one can estimate his phone sensors accuracy at any time without special instruments. Then, a visual-inertial odometry scheme is introduced to evaluate the phone sensors-based path estimation performance. Findings: Boundary conditions of using smartphone in a UAV navigation system are found. Both indoor and outdoor localization experiments are carried out and experimental results validate the effectiveness of the boundary conditions and the corresponding implemented scheme. Originality/value: With the phone as a payload, UAVs can be further realized in smaller scale at lower cost, which will be used widely in the field of industrial robots. © Emerald Group Publishing Limited [ISSN 0143-991X].","Mems sensor calibration; Navigation; Smartphone; Unmanned aerial vehicles (UAV)","Agricultural robots; Air navigation; Boundary conditions; Global positioning system; Indoor positioning systems; Industrial robots; Mobile antennas; Navigation; Smartphones; Accuracy estimation; Design/methodology/approach; Localization system; MEMS sensors; Micro UAVs; On-board sensors; Outdoor localizations; Path estimation; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-84931028080"
"Li Y.; Xiong Z.; Wang J.; Gao G.","Li, Yanfei (59706376200); Xiong, Zhi (12762452800); Wang, Jingqi (57215218661); Gao, Guanhong (58164329600)","59706376200; 12762452800; 57215218661; 58164329600","A Visual-Inertial Localization Method Based on Motion Feature Constraints","2025","Lecture Notes in Electrical Engineering","1338 LNEE","","","65","74","0","10.1007/978-981-96-2204-7_7","https://www.scopus.com/pages/publications/105000828356?origin=resultslist","The method of fusing visual and inertial information for localization has been shown to deliver stable navigational outcomes when the unmanned aerial vehicle (UAV) undergoes large attitude changes. However, when the UAV’s motion state changes such as sudden stopping and prolonged hovering to identify the search target, the drift noise of the IMU and insufficient constraints of the visual features results in diminished precision of localization. Furthermore, if there is interference from dynamic objects in the environment currently, incorrect visual measurement information will be introduced. To tackle the issue, this research advances a method for visual-inertial navigation anchored in the motion feature constraints, which introduces a zero-velocity update factor into optimization without increasing the number of sensors to detect the zero-velocity state of the UAV and improve the localization accuracy. By designing UAV experiments, it is proved that the method outlined in this paper indeed improves the precision of positioning in dynamic scenes where the UAV’s trajectory appears a long-time hovering compared to VINS-Fusion. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Multi-source Fusion; Navigation and Positioning; Nonlinear Optimization; UAV; Zero-velocity Update","Aeroassist; Helicopters; Inertial navigation systems; Nonlinear programming; Aerial vehicle; Inertial localizations; Localisation; Motion features; Multi-source fusion; Navigation and positioning; Non-linear optimization; Unmanned aerial vehicle; Zero velocity; Zero-velocity update; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-105000828356"
