Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Henawy, John; Li, Zhengguo; Yau, Wei-Yun; Seet, Gerald",,,,"Gim Lee, Gerald/F-8918-2010; Li, Zhengguo/LCE-3960-2024; Henawy, John/ABB-6140-2020","Yau, Wei-Yun/0000-0001-5709-9169; Li, Zhengguo/0000-0002-4525-1204; Henawy, John/0000-0002-4382-9164",,,,,Accurate IMU Factor Using Switched Linear Systems for VIO,,,,,,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,,,68,8,,,7199,7208,,,,10.1109/TIE.2020.3000097,,,,,,,Article,AUG 2021,2021,"Accurate motion estimation plays a crucial role in state estimation of an unmanned aerial vehicle (UAV). This is usually carried out by fusing the kinematics of an inertial measurement unit (IMU) with the video output of a camera. However, the accuracy of existing approaches is hindered by the discretization effect of the model even at a high IMU sampling rate. In order to improve the accuracy, we propose a new IMU motion integration model for the IMU kinematics in continuous time. The kinematics are modeled using a switched linear system. A closed-form discrete formulation is derived to compute the mean measurement, the covariance matrix, and the Jacobian matrix. Thus, it is more accurate and more efficient for online estimation of visual-inertial odometry (VIO), particularly when there is a high dynamic change in the agent's motion or the agent travels with high speed. The proposed IMU factor framework is evaluated using both real public datasets and indoor environment under different scenarios of motion capture. Our evaluation shows that the proposed framework outperforms the state-of-the-art VIO approach by up to 22.71% accuracy improvement on the EuRoc dataset and 38.15% accuracy improvement for motion estimation under the indoor environment.",,,,,,,,,21,1,0,0,0,0,23,0,48,0278-0046,1557-9948,,,,,,,,,,,,,,2021-08-01,WOS:000647484000075,,
J,"Zhang, Chuanwei; Chen, Liming; Yuan, Suzhe",,,,,,,,,,ST-VIO: Visual-Inertial Odometry Combined With Image Segmentation and Tracking,,,,,,,,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,,,69,10,,,8562,8570,,,,10.1109/TIM.2020.2989877,,,,,,,Article,OCT 2020,2020,"In this article, we develop a new monocular visual-inertial odometry system ST-VIO: visual-inertial odometry combined with image segmentation and tracking. We apply the direct method to track the keyframe of images. Meanwhile, we segment and track the keyframe with Siamese Network to achieve the medium-term tracking. This method allows the system to estimate the pose by the overall feature matching of the image in the large-scale motion. In order to obtain higher precision positioning, we tightly couple the image alignment factor, the IMU factor, and the medium-term tracking factor with iSAM2 solver using factor graph optimization. Our method can reduce the cumulative error of incremental positioning system because the medium-term tracking makes the system realize the partial loop closure detection. In order to verify the stability and accuracy of the proposed method, we have tested the algorithm by the EuRoC data set and the UAV platform, respectively. The results have been also compared with those by the OKVIS and R-VIO algorithms. The experimental tests demonstrate that the proposed ST-VIO has the ability to obtain excellent results with high real-time and robust performance.",,,,,,,,,21,0,0,0,0,0,21,3,56,0018-9456,1557-9662,,,,,,,,,,,,,,2020-10-06,WOS:000571849100121,,
J,"Yue, Zhe; Tang, Chengkai; Gao, Yuting",,,,,"tang, chengkai/0000-0002-9008-0061",,,,,A Novel Three-Stage Robust Adaptive Filtering Algorithm for Visual-Inertial Odometry in GNSS-Denied Environments,,,,,,,,IEEE SENSORS JOURNAL,,,,23,15,,,17499,17509,,,,10.1109/JSEN.2023.3289313,,,,,,,Article,AUG 1 2023,2023,"Visual-inertial odometry (VIO) has been widely applied in the autonomous navigation and positioning of unmanned aerial vehicles (UAVs) and unmanned ground vehicles (UGVs) in global navigation satellite system (GNSS)-denied environments. However, existing VIO filtering algorithms have the defects of low positioning accuracy and weak robustness, especially in complex and changeable environments. Therefore, a novel robust adaptive VIO algorithm is proposed here. First, the H infinity criterion is introduced into the popular cubature multistate constraint Kalman filter (CMSCKF), which improves the robustness of the VIO system. Second, this article designs a characterization method to judge the uncertainty degree of VIO based on the limited memory exponential weighting theory. Finally, inspired by the idea of the Institute of Geodesy and Geophysics (IGG) III model, we further put forward a three-stage robust adaptive H infinity filtering algorithm and test the performance with the numerical simulation and the publicly available real-world Karlsruhe Institute of Technology and Toyota Technological Institute (KITTI) dataset. The experimental results demonstrate that the proposed algorithm has better filtering accuracy and robustness.",,,,,,,,,9,0,0,0,0,0,9,3,58,1530-437X,1558-1748,,,,,,,,,,,,,,2023-09-07,WOS:001044265000105,,
J,"Bai, He; Taylor, Clark N.",,,,,"Taylor, Clark/0000-0002-6417-3715; Bai, He/0000-0002-4247-0698",,,,,Control-enabled Observability and Sensitivity Functions in Visual-Inertial Odometry,,,,,,,,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,,,93,1-2,SI,,289,301,,,,10.1007/s10846-018-0808-6,,,,,,,Article,FEB 2019,2019,"Visual-inertial odometry (VIO) is an important component in autonomous navigation of Unmanned Aerial Vehicles (UAVs) in GPS-denied or degraded environments. VIO is a nonlinear estimation problem where control inputs, such as acceleration and angular velocity, have significant impact on the estimation performance. In this paper, we examine the effects of controls on the VIO problem. We first propose a sensitivity function that characterizes the relationship between the errors in the control inputs and the state estimation performance. This function depends on the control inputs, which is unique for nonlinear systems since for linear systems, state observability properties are independent of control inputs. We next derive analytical expressions of the sensitivity functions for various VIO scenarios relevant to UAV motions. Using Monte-Carlo simulations, we validate the derived sensitivity functions. We also show an interesting fact that deceleration along the velocity direction yields better estimation performance than acceleration with the same magnitude.",,,,,,,,,0,1,0,0,0,0,1,0,12,0921-0296,1573-0409,,,,,,,,,,,,,,2019-02-13,WOS:000456791900020,,
C,"Miki, Takahiro; Khrapchenkov, Petr; Hori, Koichi",,,IEEE,,,"Howard, A; Althoefer, K; Arai, F; Arrichiello, F; Caputo, B; Castellanos, J; Hauser, K; Isler, V; Kim, J; Liu, H; Oh, P; Santos, V; Scaramuzza, D; Ude, A; Voyles, R; Yamane, K; Okamura, A",,,,UAV/UGV Autonomous Cooperation: UAV assists UGV to climb a cliff by attaching a tether,,,,,,,,2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),,IEEE International Conference on Robotics and Automation ICRA,,,,,,8041,8047,,,,10.1109/icra.2019.8794265,,,,,,,Proceedings Paper,2019,2019,"This paper proposes a novel cooperative system for an Unmanned Aerial Vehicle (UAV) and an Unmanned Ground Vehicle (UGV) which utilizes the UAV not only as a flying sensor but also as a tether attachment device. Two robots are connected with a tether, allowing the UAV to anchor the tether to a structure located at the top of a steep terrain, impossible to reach for UGVs. Thus, enhancing the poor traversability of the UGV by not only providing a wider range of scanning and mapping from the air, but also by allowing the UGV to climb steep terrains with the winding of the tether. In addition, we present an autonomous framework for the collaborative navigation and tether attachment in an unknown environment. The UAV employs visual inertial navigation with 3D voxel mapping and obstacle avoidance planning. The UGV makes use of the voxel map and generates an elevation map to execute path planning based on a traversability analysis. Furthermore, we compared the pros and cons of possible methods for the tether anchoring from multiple points of view. To increase the probability of successful anchoring, we evaluated the anchoring strategy with an experiment. Finally, the feasibility and capability of our proposed system were demonstrated by an autonomous mission experiment in the field with an obstacle and a cliff.",,,,,IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA),"MAY 20-24, 2019MAY 20-24, 2019",Bosch; DJI; Kinova; Mercedes Benz; Samsung; Argo AI; Clearpath Robot; Element AI; Fetch Robot; Huawei; iRobot; KUKA; Quanser; SICK; Toyota Res Inst; Uber; Waymo; Zhejiang Lab; Amazon; Applanix; Cloudminds; Honda Res Inst; MathWorks; OusterBosch; DJI; Kinova; Mercedes Benz; Samsung; Argo AI; Clearpath Robot; Element AI; Fetch Robot; Huawei; iRobot; KUKA; Quanser; SICK; Toyota Res Inst; Uber; Waymo; Zhejiang Lab; Amazon; Applanix; Cloudminds; Honda Res Inst; MathWorks; Ouster,"Montreal, CANADAMontreal, CANADA",48,2,0,0,0,0,58,1,42,1050-4729,2577-087X,978-1-5386-6026-3,,,,,,,,,,,,,2019-12-06,WOS:000494942305128,,
J,"Lin, Huei-Yung; Zhan, Jia-Rong",,,,"Lin, Huei-Yung/H-2949-2012",,,,,,GNSS-denied UAV indoor navigation with UWB incorporated visual inertial odometry,,,,,,,,MEASUREMENT,,,,206,,,,,,112256,,,10.1016/j.measurement.2022.112256,,,,,DEC 2022,,Article,JAN 2023,2023,"The localization of unmanned aerial vehicles (UAVs) in GPS-denied areas is an essential issue for indoor navigation. This paper presents a technique to improve the accuracy of visual inertial odometry (VIO) by combining the ultra-wideband (UWB) positioning technology. The proposed architecture is divided into two stages. In the initial stage, the constraint on UWB short-term position change is adopted to improve the pose estimation results of the VIO system. It is also used to mitigate the translation error caused by the vibration and lack of features during the flight. In the second stage, a loose coupling approach based on nonlinear optimization is utilized to fuse the local pose estimator of the VIO system with the global constraints from the UWB positioning. At the beginning of each operation, the alignment between the VIO and UWB frames is estimated to avoid the influence of coordinate transformation due to the VIO cumulative error. It is shown that our optimization-based fusion method is able to achieve a smooth localization trajectory under the global coordinate frame. In the experiments, the performance evaluation carried out in the real-world scenes has demonstrated the effectiveness of the proposed technique.",,,,,,,,,70,5,0,0,1,0,75,16,85,0263-2241,1873-412X,,,,,,,,,,,,,,2023-01-05,WOS:000894215000002,,
J,"Wu, Po-Chun; Chen, Yang-Yi; Lin, Chun-Liang; Wang, Han",,,,,,,,,,Autonomous Localization and Navigation for Drones Over Rivers,,,,,,,,IEEE ACCESS,,,,14,,,,5236,5254,,,,10.1109/ACCESS.2025.3650454,,,,,,,Article,2026,2026,"Uncrewed aerial vehicles (UAVs) are increasingly used for environmental monitoring and riverine studies; however, their dependence on Global Positioning System (GPS) localization is often compromised in forested areas, under bridges, or above highly dynamic water surfaces. Conventional vision-based navigation methods struggle with sparse textures and transient disturbances, leading to unstable positioning and drift. This paper presents a robust real-time visual-inertial navigation framework that integrates neural network-based optical flow estimation (NeuFlow v2), the Dynamic Divided Method (DDM), and inertial measurement unit (IMU) data through a Kalman Filter (KF). The DDM adaptively segments the optical-flow field according to water-surface dynamics and local texture stability, suppressing transient artifacts such as ripples and reflections, while the KF stabilizes state estimation by compensating for outliers and short-term measurement loss. Field experiments at Kangqiao, Green River, and Wu River sites demonstrate that DDM-enhanced visual odometry (VO) significantly improves robustness in low-texture and dynamic conditions. The fused framework combining NeuFlow v2, DDM, and KF achieves high trajectory similarity with GPS benchmarks, reduced drift, and enhanced spatial consistency. These findings validate a practical and effective solution for accurate UAV localization and autonomous environmental monitoring in GPS-degraded riverine environments.",,,,,,,,,0,0,0,0,0,0,0,0,0,2169-3536,,,,,,,,,,,,,,,2026-02-15,WOS:001662945100010,,
J,"Wicaksono, Muhammad; Shin, Soo Young",,,,,"Shin, Soo Young/0000-0002-2526-2395",,,,,GO-SLAM: GPS-Aided Visual-Inertial SLAM for Adaptive UAV Navigation in Outdoor-Indoor Environments,,,,,,,,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,,,74,,,,,,7503408,,,10.1109/TIM.2025.3538081,,,,,,,Article,2025,2025,"This article introduces a GPS-aided visual-inertial simultaneous localization and mapping (SLAM) system named GO-SLAM. This proposed system optimizes uncrewed aerial vehicles (UAVs)-based search and rescue (SAR) operations by enabling efficient navigation in transition areas between indoor and outdoor environments. Therefore, the UAV addresses challenges posed by intermittent GPS signals and limited features for visual odometry (VO). GO-SLAM optimizes local pose estimation by leveraging available GPS signals and inertial data from visual-inertial odometry (VIO). The system incorporates kinodynamic path search, which employs a hierarchical, time-optimal trajectory planning method to ensure comprehensive coverage. The efficacy of GO-SLAM is evaluated through scenarios involving transition areas with unreliable or absent GPS signals, followed by simulations and real-world experiments to validate its adaptive navigation capabilities.",,,,,,,,,4,0,0,0,0,0,4,31,68,0018-9456,1557-9662,,,,,,,,,,,,,,2025-03-26,WOS:001447532000015,,
J,"Zhang, Xiaoyue; Cui, Yue; Ren, Yanchao; Duan, Guodong; Zhang, Huanrui",,,,"Zhang, Huanrui/HKE-1697-2023",,,,,,Loop Detection Method Based on Neural Radiance Field BoW Model for Visual Inertial Navigation of UAVs,,,,,,,,REMOTE SENSING,,,,16,16,,,,,3038,,,10.3390/rs16163038,,,,,,,Article,AUG 2024,2024,"The loop closure detection (LCD) methods in Unmanned Aerial Vehicle (UAV) Visual Inertial Navigation System (VINS) are often affected by issues such as insufficient image texture information and limited observational perspectives, resulting in constrained UAV positioning accuracy and reduced capability to perform complex tasks. This study proposes a Bag-of-Words (BoW) LCD method based on Neural Radiance Field (NeRF), which estimates camera poses from existing images and achieves rapid scene reconstruction through NeRF. A method is designed to select virtual viewpoints and render images along the flight trajectory using a specific sampling approach to expand the limited observational angles, mitigating the impact of image blur and insufficient texture information at specific viewpoints while enlarging the loop closure candidate frames to improve the accuracy and success rate of LCD. Additionally, a BoW vector construction method that incorporates the importance of similar visual words and an adapted virtual image filtering and comprehensive scoring calculation method are designed to determine loop closures. Applied to VINS-Mono and ORB-SLAM3, and compared with the advanced BoW model LCDs of the two systems, results indicate that the NeRF-based BoW LCD method can detect more than 48% additional accurate loop closures, while the system's navigation positioning error mean is reduced by over 46%, validating the effectiveness and superiority of the proposed method and demonstrating its significant importance for improving the navigation accuracy of VINS.",,,,,,,,,2,0,0,0,0,0,2,0,6,,2072-4292,,,,,,,,,,,,,,2024-09-09,WOS:001304819200001,,
J,"Lin, Huei-Yung; Chang, Kai-Lun; Huang, Hsin-Ying",,,,"Lin, Huei-Yung/H-2949-2012",,,,,,Development of Unmanned Aerial Vehicle Navigation and Warehouse Inventory System Based on Reinforcement Learning,,,,,,,,DRONES,,,,8,6,,,,,220,,,10.3390/drones8060220,,,,,,,Article,JUN 2024,2024,"In this paper, we present the exploration of indoor positioning technologies for UAVs, as well as navigation techniques for path planning and obstacle avoidance. The objective was to perform warehouse inventory tasks, using a drone to search for barcodes or markers to identify objects. For the indoor positioning techniques, we employed visual-inertial odometry (VIO), ultra-wideband (UWB), AprilTag fiducial markers, and simultaneous localization and mapping (SLAM). These algorithms included global positioning, local positioning, and pre-mapping positioning, comparing the merits and drawbacks of various techniques and trajectories. For UAV navigation, we combined the SLAM-based RTAB-map indoor mapping and navigation path planning of the ROS for indoor environments. This system enabled precise drone positioning indoors and utilized global and local path planners to generate flight paths that avoided dynamic, static, unknown, and known obstacles, demonstrating high practicality and feasibility. To achieve warehouse inventory inspection, a reinforcement learning approach was proposed, recognizing markers by adjusting the UAV's viewpoint. We addressed several of the main problems in inventory management, including efficiently planning of paths, while ensuring a certain detection rate. Two reinforcement learning techniques, AC (actor-critic) and PPO (proximal policy optimization), were implemented based on AprilTag identification. Testing was performed in both simulated and real-world environments, and the effectiveness of the proposed method was validated.",,,,,,,,,15,0,0,0,0,0,15,18,82,,2504-446X,,,,,,,,,,,,,,2024-07-04,WOS:001255839600001,,
J,"Liu, Haiqiao; Long, Qing; Yi, Bing; Jiang, Wen",,,,,,,,,,A survey of sensors based autonomous unmanned aerial vehicle (UAV) localization techniques,,,,,,,,COMPLEX & INTELLIGENT SYSTEMS,,,,11,8,,,,,371,,,10.1007/s40747-025-01961-2,,,,,,,Article,JUL 3 2025,2025,"Autonomous localization methods for Unmanned Aerial Vehicles (UAVs) have significant application potential in complex environments. This paper presents a comprehensive survey of UAV localization techniques, focusing on both pure vision-based and sensor-assisted approaches. For pure vision-based localization, the survey emphasizes key technologies for feature descriptor generation, advancements in similarity measurement criteria, and optimized computational strategies. The impact of these technologies on improving computational efficiency and localization accuracy. In the context of sensor-assisted multi-source UAV localization, the applications of filtering-based fusion, optimization-based fusion, and deep learning-based fusion methods are discussed. A detailed analysis demonstrates the advantages of multi-modal data fusion in improving robustness and accuracy. Despite significant progress in localization accuracy and adaptability to complex environments, challenges remain in adapting to low-texture environments, optimizing fusion strategies, and addressing computational resource limitations. Finally, the paper discusses future directions for the research and implementation of UAV autonomous localization methods.",,,,,,,,,11,0,0,0,0,0,11,21,30,2199-4536,2198-6053,,,,,,,,,,,,,,2025-07-19,WOS:001527519800006,,
J,"George, Anand; Koivumaeki, Niko; Hakala, Teemu; Suomalainen, Juha; Honkavaara, Eija",,,,"Suomalainen, Juha/M-1170-2016; Hakala, Teemu/D-6166-2016; Honkavaara, Eija/KIL-0162-2024","Suomalainen, Juha/0000-0003-2029-8820; Hakala, Teemu/0000-0001-5486-4582; Koivumäki, Niko/0000-0002-6307-1637; George, Anand/0000-0002-0473-4808; Honkavaara, Eija/0000-0002-7236-2145",,,,,Visual-Inertial Odometry Using High Flying Altitude Drone Datasets,,,,,,,,DRONES,,,,7,1,,,,,36,,,10.3390/drones7010036,,,,,,,Article,JAN 2023,2023,"Positioning of unoccupied aerial systems (UAS, drones) is predominantly based on Global Navigation Satellite Systems (GNSS). Due to potential signal disruptions, redundant positioning systems are needed for reliable operation. The objective of this study was to implement and assess a redundant positioning system for high flying altitude drone operation based on visual-inertial odometry (VIO). A new sensor suite with stereo cameras and an inertial measurement unit (IMU) was developed, and a state-of-the-art VIO algorithm, VINS-Fusion, was used for localisation. Empirical testing of the system was carried out at flying altitudes of 40-100 m, which cover the common flight altitude range of outdoor drone operations. The performance of various implementations was studied, including stereo-visual-odometry (stereo-VO), monocular-visual-inertial-odometry (mono-VIO) and stereo-visual-inertial-odometry (stereo-VIO). The stereo-VIO provided the best results; the flight altitude of 40-60 m was the most optimal for the stereo baseline of 30 cm. The best positioning accuracy was 2.186 m for a 800 m-long trajectory. The performance of the stereo-VO degraded with the increasing flight altitude due to the degrading base-to-height ratio. The mono-VIO provided acceptable results, although it did not reach the performance level of the stereo-VIO. This work presented new hardware and research results on localisation algorithms for high flying altitude drones that are of great importance since the use of autonomous drones and beyond visual line-of-sight flying are increasing and will require redundant positioning solutions that compensate for potential disruptions in GNSS positioning. The data collected in this study are published for analysis and further studies.",,,,,,,,,13,2,0,0,0,0,18,7,36,,2504-446X,,,,,,,,,,,,,,2023-02-14,WOS:000919532000001,,
J,"Zhang, Xin; Yuan, Wenhan; Zhan, Xingqun; Chi, Cheng; Ren, Qianyi; Gong, Wenbin; Lin, Baojun",,,,"zhang, xin/S-9993-2019; zhan, xingqun/GLU-5130-2022","zhang, xin/0000-0003-3397-9924; zhan, xingqun/0000-0002-7655-067X; Chi, Cheng/0000-0002-5254-0004",,,,,A cliquey subgraph approach to sparsified UAV visual inertial odometry by surjective Bayes-tree-to-factor-graph mapping,,,,,,,,AEROSPACE SCIENCE AND TECHNOLOGY,,,,120,,,,,,107250,,,10.1016/j.ast.2021.107250,,,,,,,Article,JAN 2022,2022,"A new method is proposed to improve trajectory estimation accuracy by visual inertial odometry (VIO) subject to information sparsification. Current practices assume that the result of sparsification, i.e. a subgraph of a factor graph, takes the form of a tree and impose mutually independencies upon its nodes. However, this oversimplification may undermine a close approximation to the complete information matrix and eventually results in excessive estimation errors. Therefore, we propose to use a cliquey subgraph with preserved mutual correlation between selected pairs of the nodes. Sparsification is further accelerated by the new discovery that connectivity between arbitrary nodes can be directly read from Bayes tree, by transforming its surjective mapping to the underlying factor graph to a bijective mapping through a downstream-upstream traversing operation. Results from public dataset EuRoC indicate that the proposed method, while maintaining low computational profile, achieves lower absolute trajectory error (ATE) than that of the existing ones in the easy- and hard-level sequences and performs equally well in medium-level sequences. This result renders the proposed method a potent candidate for power saving in visual navigation-purposed application specific integrated circuit (ASIC) chip designs. (C) 2021 Elsevier Masson SAS. All rights reserved.",,,,,,,,,2,0,0,0,0,0,2,0,20,1270-9638,1626-3219,,,,,,,,,,,,,,2022-05-15,WOS:000791537000010,,
J,"Moeini, Amir; Lynch, Alan F.; Zhao, Qing",,,,"Lynch, Alan/HIR-2616-2022; Moeini, Amir/IVV-3701-2023",,,,,,Visual-inertial-actuator odometry for multirotor UAVs with rotor drag and external disturbance,,,,,,,,INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL,,,,12,8,,,3064,3076,,,,10.1007/s40435-023-01357-5,,,,,FEB 2024,,Article,AUG 2024,2024,"Accurate knowledge of an unmanned aerial vehicle's (UAV) state and external forces is crucial for motion control. One method to obtain this information is Visual-Inertial-Actuator Odometry (VIAO) which combines commonly available vision and inertial sensors with actuation data which consists of a model of the vehicle dynamics and input measurements. In this paper, we propose VIAO system based on the existing VIMO (Visual Inertial Model-Based Odometry) method. Our approach includes a dynamical model for a multirotor UAV with rotor drag. In addition, a disturbance observer is added for constant force estimation. The observer is integrated to the optimization-based method by adding a residual term to the cost functional. The proposed system can differentiate between the constant or slowly time-varying component of the external force and accelerometer bias. We evaluate the performance using a benchmark dataset and show an average of 21%\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$21\%$$\end{document} improvement in position estimation accuracy.",,,,,,,,,2,0,0,0,0,0,2,1,4,2195-268X,2195-2698,,,,,,,,,,,,,,2024-03-08,WOS:001169539000001,,
J,"Luo, Xin-long; Lv, Jia-hui; Sun, Geng",,,,"lv, jiahui/KUF-3026-2024; Luo, Xin-long/AAE-5564-2019","Luo, Xin-long/0000-0002-4924-6007",,,,,Continuation methods with the trusty time-stepping scheme for linearly constrained optimization with noisy data,,,,,,,,OPTIMIZATION AND ENGINEERING,,,,23,1,,,329,360,,,,10.1007/s11081-020-09590-z,,,,,FEB 2021,,Article,MAR 2022,2022,"The nonlinear optimization problem with linear constraints has many applications in engineering fields such as the visual-inertial navigation and localization of an unmanned aerial vehicle maintaining the horizontal flight. In order to solve this practical problem efficiently, this paper constructs a continuation method with the trusty time-stepping scheme for the linearly equality-constrained optimization problem at every sampling time. At every iteration, the new method only solves a system of linear equations other than the traditional optimization method such as the sequential quadratic programming (SQP) method, which needs to solve a quadratic programming subproblem. Consequently, the new method can save much more computational time than SQP. Numerical results show that the new method works well for this problem and its consumed time is about one fifth of that of SQP (the built-in subroutine fmincon.m of the MATLAB2018a environment) or that of the traditional dynamical method (the built-in subroutine ode15s.m of the MATLAB2018a environment). Furthermore, we also give the global convergence analysis of the new method.",,,,,,,,,8,1,0,0,0,0,8,1,11,1389-4420,1573-2924,,,,,,,,,,,,,,2021-02-23,WOS:000613598300001,,
J,"Antonini, Amado; Guerra, Winter; Murali, Varun; Sayre-McCord, Thomas; Karaman, Sertac",,,,"; Murali, Varun/OEN-0898-2025","Antonini, Amado/0000-0001-9090-1600; Murali, Varun/0000-0001-8522-3569",,,,,The Blackbird UAV dataset,,,,,,,,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,,,,39,10-11,SI,,1346,1364,2.78365E+14,,,10.1177/0278364920908331,,,,,MAR 2020,,Article,SEP 2020,2020,"This article describes the Blackbird unmanned aerial vehicle (UAV) Dataset, a large-scale suite of sensor data and corresponding ground truth from a custom-built quadrotor platform equipped with an inertial measurement unit (IMU), rotor tachometers, and virtual color, grayscale, and depth cameras. Motivated by the increasing demand for agile, autonomous operation of aerial vehicles, this dataset is designed to facilitate the development and evaluation of high-performance UAV perception algorithms. The dataset contains over 10 hours of data from our quadrotor tracing 18 different trajectories at varying maximum speeds (0.5 to 13.8 ms(-1)) through 5 different visual environments for a total of 176 unique flights. For each flight, we provide 120 Hz grayscale, 60 Hz RGB-D, and 60 Hz semantically segmented images from forward stereo and downward-facing photorealistic virtual cameras in addition to 100 Hz IMU, 190 Hz motor speed sensors, and 360 Hz millimeter-accurate motion capture ground truth. The Blackbird UAV dataset is therefore well suited to the development of algorithms for visual inertial navigation, 3D reconstruction, and depth estimation. As a benchmark for future algorithms, the performance of two state-of-the-art visual odometry algorithms are reported and scripts for comparing against the benchmarks are included with the dataset. The dataset is available for download at http://blackbirddataset.mit.edu/..",,,,,,,,,32,4,0,0,0,0,43,3,62,0278-3649,1741-3176,,,,,,,,,,,,,,2020-04-16,WOS:000523906800001,,
C,"Cioffi, Giovanni; Scaramuzza, Davide",,,IEEE,,"Scaramuzza, Davide/0000-0002-3831-6778",,,,,Tightly-coupled Fusion of Global Positional Measurements in Optimization-based Visual-Inertial Odometry,,,,,,,,2020 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),,IEEE International Conference on Intelligent Robots and Systems,,,,,,5089,5095,,,,10.1109/IROS45743.2020.9341697,,,,,,,Proceedings Paper,2020,2020,"Motivated by the goal of achieving robust, drift-free pose estimation in long-term autonomous navigation, in this work we propose a methodology to fuse global positional information with visual and inertial measurements in a tightly-coupled nonlinear-optimization-based estimator. Differently from previous works, which are loosely-coupled, the use of a tightly-coupled approach allows exploiting the correlations amongst all the measurements. A sliding window of the most recent system states is estimated by minimizing a cost function that includes visual re-projection errors, relative inertial errors, and global positional residuals. We use IMU preintegration to formulate the inertial residuals and leverage the outcome of such algorithm to efficiently compute the global position residuals. The experimental results show that the proposed method achieves accurate and globally consistent estimates, with negligible increase of the optimization computational cost. Our method consistently outperforms the loosely-coupled fusion approach. The mean position error is reduced up to 50 % with respect to the loosely-coupled approach in outdoor Unmanned Aerial Vehicle (UAV) flights, where the global position information is given by noisy GPS measurements. To the best of our knowledge, this is the first work where global positional measurements are tightly fused in an optimization-based visual-inertial odometry algorithm, leveraging the IMU preintegration method to define the global positional factors.",,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 24-JAN 24, 2020-2021OCT 24-JAN 24, 2020-2021",IEEE; RSJIEEE; RSJ,ELECTR NETWORKELECTR NETWORK,72,6,0,0,0,0,84,0,24,2153-0858,,978-1-7281-6212-6,,,,,,,,,,,,,2020-01-01,WOS:000714033802129,,
